	MC: BLCA	MC: BRCA	MC: CESC	MC: COAD	MC: ESCA	MC: HNSC	MC: KIRC	MC: KIRP	MC: LIHC	MC: LUAD	MC: LUSC	MC: PRAD	MC: READ	MC: STAD	MC: THCA	MC: UCEC	MS: BLCA	MS: BRCA	MS: CESC	MS: COAD	MS: ESCA	MS: HNSC	MS: KIRC	MS: KIRP	MS: LIHC	MS: LUAD	MS: LUSC	MS: PRAD	MS: READ	MS: STAD	MS: THCA	MS: UCEC
ERCC2	37.0	2.0	1.0	10.0	1.0	4.0	0.0	1.0	5.0	2.0	6.0	3.0	1.0	11.0	0.0	19.0	37.0	2.0	1.0	10.0	1.0	4.0	0.0	1.0	5.0	2.0	6.0	3.0	1.0	11.0	0.0	12.0
DNAH8	44.0	31.0	29.0	94.0	9.0	40.0	7.0	12.0	18.0	65.0	93.0	5.0	28.0	52.0	3.0	313.0	36.0	27.0	18.0	50.0	9.0	37.0	7.0	12.0	18.0	59.0	84.0	4.0	12.0	42.0	3.0	88.0
PCLO	42.0	41.0	31.0	103.0	30.0	79.0	13.0	10.0	52.0	128.0	113.0	14.0	34.0	112.0	1.0	255.0	36.0	35.0	23.0	73.0	25.0	69.0	13.0	9.0	41.0	103.0	86.0	9.0	11.0	81.0	1.0	99.0
DMXL2	40.0	26.0	18.0	48.0	6.0	15.0	5.0	5.0	5.0	18.0	21.0	2.0	15.0	31.0	1.0	160.0	36.0	20.0	16.0	31.0	6.0	15.0	4.0	5.0	5.0	17.0	20.0	2.0	7.0	22.0	1.0	71.0
MDN1	42.0	40.0	33.0	91.0	7.0	26.0	6.0	8.0	7.0	25.0	46.0	5.0	20.0	83.0	3.0	214.0	35.0	35.0	21.0	60.0	7.0	25.0	6.0	8.0	6.0	24.0	39.0	3.0	7.0	55.0	3.0	91.0
LRP2	40.0	43.0	31.0	92.0	13.0	36.0	16.0	11.0	14.0	77.0	82.0	3.0	26.0	69.0	0.0	283.0	35.0	39.0	24.0	60.0	13.0	34.0	16.0	11.0	14.0	64.0	72.0	2.0	11.0	49.0	0.0	93.0
UTRN	39.0	26.0	10.0	42.0	4.0	20.0	7.0	1.0	7.0	32.0	47.0	7.0	18.0	44.0	0.0	167.0	35.0	25.0	10.0	30.0	4.0	20.0	7.0	1.0	6.0	29.0	40.0	5.0	9.0	35.0	0.0	78.0
BRCA2	44.0	27.0	12.0	49.0	7.0	19.0	9.0	6.0	5.0	33.0	33.0	8.0	24.0	51.0	2.0	185.0	34.0	24.0	10.0	32.0	7.0	19.0	9.0	6.0	4.0	30.0	32.0	8.0	10.0	39.0	2.0	74.0
DNAH3	40.0	22.0	19.0	75.0	9.0	20.0	11.0	4.0	7.0	57.0	43.0	8.0	14.0	65.0	3.0	213.0	34.0	21.0	14.0	48.0	9.0	20.0	11.0	4.0	7.0	53.0	40.0	7.0	8.0	50.0	3.0	78.0
USP34	40.0	23.0	12.0	44.0	6.0	25.0	7.0	6.0	11.0	28.0	39.0	4.0	14.0	37.0	0.0	171.0	34.0	22.0	11.0	34.0	5.0	22.0	7.0	5.0	11.0	26.0	37.0	3.0	6.0	27.0	0.0	77.0
